Filename,Hue Std Interval,Contrast Interval,CIVE Interval
frame_0020-Copia-1-_jpg.rf.99c055a4848830b9675a589fe25a290d.jpg,4,4,2
frame_0020_jpg.rf.9ee0df5b2710f388b01a2dbd7b72ea1a.jpg,1,1,2
frame_0014_jpg.rf.bb915f4b1c73873da5a6721d46e446ff.jpg,3,3,4
frame_0015_jpg.rf.050c78510941039b2322fce1e4c11950.jpg,1,1,4
frame_0031-Copia-1-_jpg.rf.92c02cefca60fc41cf4a7da7e1e9cded.jpg,2,2,4
frame_0038-Copia-1-_jpg.rf.f88863544b717f0b5383d753343199e8.jpg,4,4,2
frame_0014-Copia-1-_jpg.rf.d9340c63cdda18bd34756ba166f54c85.jpg,4,4,1
frame_0039_jpg.rf.8372e06ff7ce36b5b1649f2dc0fb66c8.jpg,2,2,1
frame_0038_jpg.rf.2c7aa4e389db6948f7d4bd804a667540.jpg,2,1,1
frame_0033_jpg.rf.ffbd076c6fabe5aaf866a1b79e9ddb4c.jpg,4,4,3
frame_0000_jpg.rf.8ba895b8bfaf70c85dbfb122a1fe3bb7.jpg,3,3,3
frame_0041_jpg.rf.fb7cfb2e26ecc1c986e0cd1ef4a88eb8.jpg,1,1,4
frame_0009_jpg.rf.dcfae702f2cd712c1bad4f3988987b81.jpg,3,3,3
frame_0028_jpg.rf.629a4b43e7b40b1fe4a15a56b658fde4.jpg,2,2,2
frame_0031_jpg.rf.922cb3b18a039e7d3dac5adb8b3ace2a.jpg,4,4,2
frame_0019_jpg.rf.19f72c8999bc051117fa65f2834b5f4b.jpg,4,4,4
frame_0027-Copia-1-_jpg.rf.56a7e14966e304c7be521c88e5b4233a.jpg,2,2,3
frame_0028_jpg.rf.cd7724387fae6e533449830ca7c04609.jpg,3,3,3
frame_0025_jpg.rf.49b9e94a066089555383f1c646d657ef.jpg,1,1,2
frame_0049_jpg.rf.2c07ee4c336ce77de56eaa0bf2953e66.jpg,1,1,4
frame_0055-Copia-1-_jpg.rf.70b21f178fe2467148caf794beb15bfe.jpg,2,2,4
frame_0017_jpg.rf.0a161fec64a3a14e3fbbecb21c26ccbf.jpg,2,2,2
frame_0030-Copia-1-_jpg.rf.84c03ef94d98eef17e963dde52908fe3.jpg,2,2,4
frame_0026-Copia-1-_jpg.rf.3a7402aaa7a62b7b35f9e4392c4b3a17.jpg,1,1,4
frame_0027_jpg.rf.5ac66de1a0e28ccb7d9b17aaf1f0b9d4.jpg,2,2,2
frame_0044_jpg.rf.32e641ab13d59bbbe1c848538516b66e.jpg,1,1,1
frame_0016-Copia-1-_jpg.rf.0069fe9bcfb66f1a0b610d3a5535150a.jpg,4,4,1
frame_0030_jpg.rf.250b7892405d146753e4c39bf10b5464.jpg,2,2,2
frame_0013_jpg.rf.dfed2688756e77314fc062f49f39a010.jpg,4,4,1
frame_0039_jpg.rf.2ed0f85f1a7adca8a87b5a880d35df15.jpg,1,1,3
frame_0003_jpg.rf.959701ebdbeaf399099bd9dc4a036905.jpg,4,4,1
frame_0244_jpg.rf.b45d82e37d861781f1498c12076fa0ed.jpg,3,2,3
frame_0020_jpg.rf.830814c66979f815696988e67d2024db.jpg,1,1,4
frame_0046_jpg.rf.278d595045ad4b2b84610401c48636e8.jpg,1,1,4
frame_0051_jpg.rf.0316e38f283e3a777c813dc9864a7b27.jpg,1,1,4
frame_0011-Copia-1-_jpg.rf.35d96643e8e6e3b0f51d82bda59c0739.jpg,4,4,1
frame_0048_jpg.rf.0923b45b22a61fd565153fe2c2fa53ce.jpg,1,1,4
frame_0009_jpg.rf.73bfa7c5685161dc6707baefaf8a9937.jpg,4,3,3
frame_0034_jpg.rf.4afd639755fbcbf00dd2933d8d15df60.jpg,1,1,3
frame_0010-Copia-1-_jpg.rf.2df25039b07d076a2f9cae21e6e40f30.jpg,4,4,1
frame_0026_jpg.rf.b9750c9638e349095d50c3ddfa266de9.jpg,1,1,2
frame_0007-Copia-1-_jpg.rf.db84b811f37534bd308e39f6451a9116.jpg,4,4,1
frame_0018_jpg.rf.99bc2cf75b5cdb8fafa171d220dce4de.jpg,2,2,4
frame_0043-Copia-1-_jpg.rf.9b7b499749ef72d670758389142222fe.jpg,4,4,1
frame_0021_jpg.rf.2386179a9ddb2a58e09402cda5b0a9ba.jpg,3,3,4
frame_0014_jpg.rf.0999be5abf3f378a455fd34612bedb52.jpg,4,4,1
frame_0015-Copia-1-_jpg.rf.970b775c48754e784907e6c4189db526.jpg,4,4,1
frame_0024-Copia-1-_jpg.rf.4d24ae4dfc2b8c388894d458fdbfa64f.jpg,3,3,3
frame_0046-Copia-1-_jpg.rf.1a2b93775402340cc91303aaca6cc57f.jpg,3,3,1
frame_0022-Copia-1-_jpg.rf.e277c94cf3c567d07a77f29d6b5f5950.jpg,3,3,3
frame_0000-Copia-1-_jpg.rf.baa67bc64f3be13b6c01404fa4ceff3a.jpg,1,2,3
frame_0008_jpg.rf.3b5d42171093e117adc0b66dac948f98.jpg,4,4,2
frame_0041_jpg.rf.baaab678bb4d521e55e5a0dd5854ef6d.jpg,1,1,1
frame_0039-Copia-1-_jpg.rf.fae48c344720d34f928a36ede36e697d.jpg,3,3,3
