Ranking of feature pairs by accuracy:
1. ('Std Brightness', 'CIVE'): 0.78125
2. ('Std Brightness', 'ExG-ExR Ratio'): 0.78125
3. ('Max Brightness', 'Hue Hist Feature 1'): 0.78125
4. ('Hue Std', 'Texture Dissimilarity'): 0.78125
5. ('Hue Std', 'Texture Energy'): 0.78125
6. ('Hue Std', 'Excess Green Index'): 0.78125
7. ('Hue Std', 'CIVE Ratio'): 0.78125
8. ('Contrast', 'Excess Green Index'): 0.78125
9. ('Contrast', 'CIVE Ratio'): 0.78125
10. ('Mean Brightness', 'Hue Std'): 0.75
11. ('Mean Brightness', 'Contrast'): 0.75
12. ('Std Brightness', 'Hue Std'): 0.75
13. ('Std Brightness', 'Contrast'): 0.75
14. ('Max Brightness', 'Hue Std'): 0.75
15. ('Min Brightness', 'Hue Std'): 0.75
16. ('Hue Hist Feature 1', 'Hue Hist Feature 2'): 0.75
17. ('Hue Hist Feature 1', 'Hue Std'): 0.75
18. ('Hue Hist Feature 2', 'Hue Std'): 0.75
19. ('Hue Hist Feature 2', 'Contrast'): 0.75
20. ('Hue Std', 'Contrast'): 0.75
21. ('Hue Std', 'Std Saturation'): 0.75
22. ('Hue Std', 'Max Saturation'): 0.75
23. ('Hue Std', 'Min Saturation'): 0.75
24. ('Hue Std', 'SIFT Features'): 0.75
25. ('Hue Std', 'Texture Contrast'): 0.75
26. ('Hue Std', 'Texture Homogeneity'): 0.75
27. ('Hue Std', 'Texture ASM'): 0.75
28. ('Hue Std', 'Excess Red Index'): 0.75
29. ('Contrast', 'Std Saturation'): 0.75
30. ('Contrast', 'Max Saturation'): 0.75
31. ('Contrast', 'Min Saturation'): 0.75
32. ('Contrast', 'Texture Homogeneity'): 0.75
33. ('Mean Brightness', 'Hue Hist Feature 1'): 0.71875
34. ('Std Brightness', 'Max Brightness'): 0.71875
35. ('Std Brightness', 'Hue Hist Feature 1'): 0.71875
36. ('Std Brightness', 'Mean Saturation'): 0.71875
37. ('Std Brightness', 'Texture Correlation'): 0.71875
38. ('Std Brightness', 'Texture ASM'): 0.71875
