===========================Training finished===========================
q_table: 
[[7.02145900e+04 2.05722621e+03 9.94372014e+02]
 [1.70123435e+04 5.35927436e+02 2.33942599e+02]
 [2.55813777e+03 4.57493892e+01 7.88963879e+01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [6.35928841e+02 0.00000000e+00 2.23545196e+01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [1.59387792e+04 7.61821073e+02 4.12352106e+02]
 [1.35164712e+04 6.44784603e+02 9.24202464e+01]
 [6.44315819e+03 1.53584812e+02 9.34683206e+01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [6.22413611e+03 7.85646354e+01 1.30090523e+02]
 [7.13344631e+03 3.23671464e+02 3.73051908e+02]
 [2.43335397e+04 1.38245177e+03 7.34007877e+02]]
